error: Apr-07-2023 11:02:16: 	500 - undefined - ENOENT: no such file or directory, open './assets/cdw_ace23_buddies.json' - /buddy/deleteBuddy - POST - ::1
error: Apr-10-2023 14:12:55: 	invalid operation
error: Apr-10-2023 14:17:30: 	invalid operation
error: Apr-10-2023 14:18:21: 	invalid operation
error: Apr-10-2023 14:24:29: 	invalid operation
info: Apr-10-2023 14:25:20: 	START:: listing All Buddies.
info: Apr-10-2023 14:25:20: 	END:: listing All Buddies
info: Apr-10-2023 14:27:23: 	START:: listing All Buddies.
info: Apr-10-2023 14:27:23: 	END:: listing All Buddies
info: Apr-10-2023 14:30:14: 	START:: listing All Buddies.
info: Apr-10-2023 14:30:14: 	END:: listing All Buddies
info: Apr-10-2023 14:35:30: 	SUCCESS
info: Apr-10-2023 14:35:34: 	START:: listing All Buddies.
info: Apr-10-2023 14:35:34: 	END:: listing All Buddies
info: Apr-10-2023 14:35:34: 	SUCCESS
info: Apr-10-2023 14:41:05: 	SUCCESS
info: Apr-10-2023 14:41:15: 	START:: listing All Buddies.
info: Apr-10-2023 14:41:15: 	END:: listing All Buddies
info: Apr-10-2023 14:41:15: 	SUCCESS
warn: Apr-10-2023 14:44:16: 	Id exists already. /buddy/addBuddy - POST - ::1
info: Apr-10-2023 14:44:16: 	ERROR
info: Apr-10-2023 14:44:22: 	START:: listing All Buddies.
info: Apr-10-2023 14:44:22: 	END:: listing All Buddies
info: Apr-10-2023 14:44:22: 	SUCCESS
info: Apr-10-2023 14:48:49: 	START:: listing All Buddies.
info: Apr-10-2023 14:48:49: 	END:: listing All Buddies
info: Apr-10-2023 14:48:49: 	SUCCESS
info: Apr-10-2023 14:49:09: 	START:: Display Buddies Services. /buddy/listBuddy/1 - GET - ::1
error: Apr-10-2023 14:49:09: 	500 - undefined - Assignment to constant variable. - /buddy/listBuddy/1 - GET - ::1
info: Apr-10-2023 14:49:09: 	END:: Display All Buddies Services. /buddy/listBuddy/1 - GET - ::1
info: Apr-10-2023 14:49:09: 	ERROR
info: Apr-10-2023 14:49:55: 	START:: Display Buddies Services. /buddy/listBuddy/1 - GET - ::1
error: Apr-10-2023 14:49:55: 	500 - undefined - Assignment to constant variable. - /buddy/listBuddy/1 - GET - ::1
info: Apr-10-2023 14:49:55: 	END:: Display All Buddies Services. /buddy/listBuddy/1 - GET - ::1
info: Apr-10-2023 14:49:55: 	ERROR
info: Apr-10-2023 14:50:19: 	START:: Display Buddies Services. /buddy/listBuddy/1 - GET - ::1
